Priority,Epic,Feature,Task ID,Task Name,Task Type,Story Points,Sprint,Dependencies,Acceptance Criteria,Detailed AI Prompt
P1-Critical,Financial Integration,QuickBooks Online Integration,FIN-001,Create accounting integration database schema,Database Schema,3,1,None,"- New table: accounting_integrations (id, company_id, provider, access_token_encrypted, refresh_token_encrypted, realm_id, is_active, created_at, updated_at)
- New table: accounting_sync_logs (id, company_id, entity_type, entity_id, sync_status, error_message, synced_at)
- New table: chart_of_accounts_mapping (id, company_id, caskr_account_type, qbo_account_id, qbo_account_name)
- Indexes on company_id, sync_status, synced_at
- Foreign keys properly configured","Create a database migration for QuickBooks Online integration. The Caskr application uses PostgreSQL with Entity Framework Core 9.0.1. Create SQL migration files in the Database/initdb.d/ directory following the existing pattern (using IF NOT EXISTS for idempotent migrations). Include three new tables: 1) accounting_integrations to store OAuth tokens and provider configuration (supports multiple providers like QuickBooks, Xero, NetSuite), 2) accounting_sync_logs to track all sync operations with status and error messages for audit trail, 3) chart_of_accounts_mapping to map Caskr internal account types (COGS, WIP, Finished Goods, etc.) to external accounting system account IDs. Ensure all sensitive fields like access_token and refresh_token have '_encrypted' suffix to indicate encryption requirement. Add appropriate indexes for company_id lookups and sync_status filtering. Include updated_at timestamps for change tracking."
P1-Critical,Financial Integration,QuickBooks Online Integration,FIN-002,Create C# models for accounting integration,Backend Model,2,1,FIN-001,"- AccountingIntegration.cs entity with all fields
- AccountingSyncLog.cs entity
- ChartOfAccountsMapping.cs entity
- Enums: AccountingProvider, SyncStatus, CaskrAccountType
- Models added to CaskrDbContext with proper relationships","Create C# entity models for the accounting integration tables in Caskr.Server/Models/. Follow the existing model patterns in the codebase (see User.cs, Company.cs, Order.cs as examples). Create: 1) AccountingIntegration.cs with properties matching the database schema, using proper data annotations for validation ([Required], [MaxLength], etc.), 2) AccountingSyncLog.cs for tracking sync operations, 3) ChartOfAccountsMapping.cs for account mapping. Create enums: AccountingProvider (QuickBooks, Xero, NetSuite), SyncStatus (Pending, InProgress, Success, Failed), CaskrAccountType (COGS, WIP, FinishedGoods, RawMaterials, Barrels, etc.). Update CaskrDbContext.cs to include the new DbSet properties and configure relationships in OnModelCreating. Use snake_case column naming to match PostgreSQL convention (e.g., HasColumnName(""company_id"")). Ensure navigation properties are properly configured for Company relationships."
P1-Critical,Financial Integration,QuickBooks Online Integration,FIN-003,Install QuickBooks SDK NuGet package,Infrastructure,1,1,None,"- IppDotNetSdkForQuickBooksApiV3 package added to Caskr.server.csproj
- Package version documented
- dotnet restore successful","Add the official Intuit QuickBooks SDK to the Caskr.Server project. Update Caskr.Server/Caskr.server.csproj to include the NuGet package 'IppDotNetSdkForQuickBooksApiV3' (latest stable version). This SDK provides OAuth 2.0 authentication and API access to QuickBooks Online. After adding the package reference, run 'dotnet restore' to ensure the package installs correctly. Document the package version in a comment explaining it's for QuickBooks Online integration. Verify the package doesn't conflict with existing dependencies (especially Entity Framework Core 9.0.1, ASP.NET Core 8.0)."
P1-Critical,Financial Integration,QuickBooks Online Integration,FIN-004,Create QuickBooks OAuth service interface,Backend Service,2,1,None,"- IQuickBooksAuthService interface created
- Methods: GetAuthorizationUrl(), HandleCallback(), RefreshToken(), RevokeAccess()
- XML documentation comments on all methods
- Returns proper types (AuthorizationUrl, OAuthTokens, etc.)","Create an interface for QuickBooks OAuth authentication in Caskr.Server/Services/IQuickBooksAuthService.cs. This interface will define the contract for OAuth 2.0 authentication flow with QuickBooks Online. Include methods: 1) Task<string> GetAuthorizationUrlAsync(int companyId, string redirectUri) - generates OAuth URL for user authorization, 2) Task<OAuthTokenResponse> HandleCallbackAsync(string code, string realmId, int companyId) - exchanges authorization code for access/refresh tokens, 3) Task<OAuthTokenResponse> RefreshTokenAsync(int companyId) - refreshes expired access token, 4) Task RevokeAccessAsync(int companyId) - disconnects QuickBooks integration. Create supporting DTOs: OAuthTokenResponse (AccessToken, RefreshToken, ExpiresIn, RealmId). Add XML documentation comments explaining OAuth flow, token expiration (tokens expire in 1 hour, refresh tokens in 100 days), and security considerations."
P1-Critical,Financial Integration,QuickBooks Online Integration,FIN-005,Implement QuickBooks OAuth service,Backend Service,5,2,FIN-002|FIN-003|FIN-004,"- QuickBooksAuthService implements IQuickBooksAuthService
- OAuth 2.0 flow implemented correctly
- Tokens encrypted before database storage using Data Protection API
- Refresh token logic handles expiration
- Error handling for OAuth failures
- Integration tested with QuickBooks sandbox","Implement QuickBooksAuthService.cs in Caskr.Server/Services/. This service orchestrates OAuth 2.0 authentication with QuickBooks Online using the Intuit SDK. Implementation requirements: 1) Inject IConfiguration to read QBO client ID/secret from appsettings, CaskrDbContext for database access, IDataProtectionProvider for token encryption. 2) GetAuthorizationUrlAsync: Use OAuth2Client from Intuit SDK to generate authorization URL with required scopes (com.intuit.quickbooks.accounting). 3) HandleCallbackAsync: Exchange authorization code for tokens, encrypt access_token and refresh_token using Data Protection API, save to accounting_integrations table with company_id and realm_id. 4) RefreshTokenAsync: Check if token expired (compare created_at + expires_in with current time), use refresh token to get new access token, update database. 5) RevokeAccessAsync: Call Intuit revoke endpoint, mark integration as inactive. Include comprehensive error handling for network failures, invalid tokens, and QuickBooks API errors. Log all operations using ILogger for debugging."
P1-Critical,Financial Integration,QuickBooks Online Integration,FIN-006,Create QuickBooks OAuth controller endpoints,API Route,3,2,FIN-005,"- POST /api/accounting/quickbooks/connect - returns auth URL
- GET /api/accounting/quickbooks/callback - handles OAuth callback
- POST /api/accounting/quickbooks/disconnect - revokes access
- GET /api/accounting/quickbooks/status - checks connection status
- All endpoints require authentication
- Proper error responses (400, 401, 500)","Create QuickBooksController.cs in Caskr.Server/Controllers/ extending AuthorizedApiControllerBase (ensures user authentication). Implement OAuth endpoints: 1) POST /api/accounting/quickbooks/connect - accepts company_id, calls GetAuthorizationUrlAsync, returns {authUrl: string} for frontend redirect. 2) GET /api/accounting/quickbooks/callback?code=xxx&realmId=xxx&state=companyId - handles OAuth callback from QuickBooks, extracts code and realmId, calls HandleCallbackAsync, redirects to frontend success page. 3) POST /api/accounting/quickbooks/disconnect - accepts company_id, calls RevokeAccessAsync, returns 200 OK. 4) GET /api/accounting/quickbooks/status - accepts company_id, queries accounting_integrations table, returns {connected: bool, realmId: string, connectedAt: datetime}. Add proper error handling: 400 for invalid input, 401 for unauthorized, 500 for OAuth failures. Add XML documentation and [ProducesResponseType] attributes for Swagger. Validate user has permission to access the company_id before any operation."
P1-Critical,Financial Integration,QuickBooks Online Integration,FIN-007,Create chart of accounts mapping UI,User Interface,5,3,FIN-006,"- React component: AccountingSettingsPage.tsx
- Displays current QBO connection status
- Connect/Disconnect buttons
- Chart of accounts mapping table (Caskr Account → QBO Account)
- Dropdown to select QBO accounts from API
- Save mappings button
- Loading and error states","Create AccountingSettingsPage.tsx in caskr.client/src/pages/. This page allows users to connect QuickBooks and map chart of accounts. UI requirements: 1) Header showing connection status (Connected/Disconnected, realm ID, connected date). 2) If disconnected: 'Connect QuickBooks' button that calls POST /api/accounting/quickbooks/connect and redirects to returned authUrl. 3) If connected: 'Disconnect' button with confirmation dialog. 4) Chart of accounts mapping section: Table with columns [Caskr Account Type | QBO Account | Actions]. Display all CaskrAccountType enum values (COGS, WIP, Finished Goods, Raw Materials, Barrels, Excise Tax Payable, Revenue, etc.). For each row, show a searchable dropdown populated from GET /api/accounting/quickbooks/accounts (fetches QBO chart of accounts). Allow user to map Caskr account types to QBO account IDs. 5) 'Save Mappings' button calls POST /api/accounting/quickbooks/mappings. Use existing Caskr component patterns (see OrdersPage.tsx, Dashboard.tsx). Show loading spinner during API calls, error toasts for failures. Use Redux to store connection status if needed."
P1-Critical,Financial Integration,QuickBooks Online Integration,FIN-008,Create QBO chart of accounts sync service,Backend Service,3,3,FIN-005,"- IQuickBooksDataService interface created
- GetChartOfAccountsAsync() method implemented
- Fetches accounts from QBO API
- Caches results for 1 hour
- Returns list of QBOAccount (Id, Name, AccountType, Active)","Create IQuickBooksDataService interface and implementation in Caskr.Server/Services/. This service fetches data from QuickBooks Online using authenticated API calls. Primary method: Task<List<QBOAccount>> GetChartOfAccountsAsync(int companyId). Implementation: 1) Retrieve access token from accounting_integrations table for company_id. 2) Check if token is expired, call RefreshTokenAsync if needed. 3) Create ServiceContext from Intuit SDK using access token and realm_id. 4) Query QBO API: QueryService<Account>.ExecuteIdsQuery(""SELECT * FROM Account WHERE Active = true""). 5) Map Intuit Account objects to QBOAccount DTO (Id, Name, AccountType, AccountSubType, Active). 6) Cache results in memory (IMemoryCache) for 1 hour to reduce API calls. 7) Handle QBO API errors (rate limits, invalid tokens, network failures) with appropriate exceptions. Create QBOAccount.cs DTO model. Inject IMemoryCache, CaskrDbContext, IQuickBooksAuthService. Log all API calls for debugging."
P1-Critical,Financial Integration,QuickBooks Online Integration,FIN-009,Create API endpoint to fetch QBO accounts,API Route,2,3,FIN-008,"- GET /api/accounting/quickbooks/accounts endpoint
- Returns list of QBO accounts
- Requires company_id parameter
- Validates user has access to company
- Returns 200 with account list or 404 if not connected","Add endpoint to QuickBooksController: GET /api/accounting/quickbooks/accounts?companyId={id}. This endpoint is called by the frontend mapping UI to populate dropdowns. Implementation: 1) Validate companyId parameter is provided. 2) Verify current user has access to this company (check user.CompanyId matches or user is admin). 3) Check if QuickBooks is connected for this company (query accounting_integrations). 4) If not connected, return 404 with error message 'QuickBooks not connected for this company'. 5) Call quickBooksDataService.GetChartOfAccountsAsync(companyId). 6) Return 200 with JSON array of accounts [{id, name, accountType, active}]. Add error handling for QBO API failures, return 500 with user-friendly message. Add [Authorize] attribute, XML documentation, and Swagger response types. Consider adding optional query parameter ?refresh=true to bypass cache."
P1-Critical,Financial Integration,QuickBooks Online Integration,FIN-010,Create account mapping save endpoint,API Route,3,3,FIN-002|FIN-009,"- POST /api/accounting/quickbooks/mappings endpoint
- Accepts array of mappings {caskrAccountType, qboAccountId}
- Validates all QBO account IDs exist
- Upserts mappings to chart_of_accounts_mapping table
- Returns 200 with saved mappings","Add endpoint POST /api/accounting/quickbooks/mappings to QuickBooksController. Request body: {companyId: int, mappings: [{caskrAccountType: string, qboAccountId: string, qboAccountName: string}]}. Implementation: 1) Validate companyId and user access. 2) Validate all caskrAccountType values are valid enum members. 3) For each mapping, check if QBO account ID exists by calling GetChartOfAccountsAsync (or cache lookup). 4) Delete existing mappings for this company: DELETE FROM chart_of_accounts_mapping WHERE company_id = {companyId}. 5) Insert new mappings in batch using EF Core AddRange. 6) Save changes with dbContext.SaveChangesAsync(). 7) Return 200 with saved mappings array. Add validation: each CaskrAccountType should be mapped exactly once (no duplicates). Return 400 if validation fails with specific error (e.g., 'COGS account must be mapped'). Log mapping changes for audit trail."
